"Reward Points","نقاط الولاء"
"Earn point(s) for sending emails to friends","Earn point(s) for sending emails to friends"
"Earn points for sharing on Facebook","Earn points for sharing on Facebook"
"Earn point(s) for signing up","Earn point(s) for signing up"
"Tweet Twitter","Tweet Twitter"
"Earn point(s) for sharing a page on Twitter","Earn point(s) for sharing a page on Twitter"
"Unlike Facebook","Unlike Facebook"
"Minus points for unliking Facebook page","Minus points for unliking Facebook page"
"Admin Import","Admin Import"
"Import by %1","Import by %1"
"Referral Earning","Referral Earning"
"Referral Refund","Referral Refund"
"Purchase products by using points","Purchase products by using points"
"Sell points refund","Sell points refund"
"You don't have enough points to spend!","You don't have enough points to spend!"
"The module is disabled","The module is disabled"
"No such rule id!","No such rule id!"
"There is no data for the export.","There is no data for the export."
Add/Update,Add/Update
Replace,Replace
Delete,Delete
Add,Add
"Please specify a website.","Please specify a website."
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"We found an invalid value in a website column.","We found an invalid value in a website column."
"Please enter a valid email.","Please enter a valid email."
"We can't find a reward customer who matches this email and website code.","We can't find a reward customer who matches this email and website code."
"Reward Account invalid.","Reward Account invalid."
"Point balance is empty","Point balance is empty"
"Point balance must equals or greater than zero","Point balance must equals or greater than zero"
"Store id is empty","Store id is empty"
"store_id doesn't exist","store_id doesn't exist"
"%1 invalid","%1 invalid"
"Action code doesn't exist","Action code doesn't exist"
"Customer doesn't exist","Customer doesn't exist"
"Transaction doesn't exist.","Transaction doesn't exist."
"We can't find a reward account who matches the customer.","We can't find a reward account who matches the customer."
"We can't find a customer who matches this store id.","We can't find a customer who matches this store id."
"Point remaining must be equals or greater than zero","Point remaining must be equals or greater than zero"
"Point used must be equals or greater than zero","Point used must be equals or greater than zero"
"%1 at invalid","%1 at invalid"
"%1 is empty","%1 is empty"
"Invalid status.","Invalid status."
"Point Amount must be equals or greater than zero","Point Amount must be equals or greater than zero"
"%1 invalid!","%1 invalid!"
"Email required.","Email required."
"Email list must be equals or less than 20.","Email list must be equals or less than 20."
"%1 is not a valid email address.","%1 is not a valid email address."
"Referrer does not exist.","Referrer does not exist."
"Can not delete base Tier","Can not delete base Tier"
"Give fixed X points to Customers","Give fixed X points to Customers"
"Give X points for every Y amount of Price","Give X points for every Y amount of Price"
"Give a fixed discount to Customer","Give a fixed discount to Customer"
"Give percent discount to Customer","Give percent discount to Customer"
"Create a new account","Create a new account"
"Sign up for a newsletter","Sign up for a newsletter"
"Write a review","Write a review"
"Customer's birthday","Customer's birthday"
"Like a page with Facebook","Like a page with Facebook"
"Tweet a page with Twitter","Tweet a page with Twitter"
"Share a purchase on Facebook","Share a purchase on Facebook"
"Get X Points after Y Days of Inactivity","Get X Points after Y Days of Inactivity"
"Home Page","Home Page"
"Product List","Product List"
"Product Details","Product Details"
Day,Day
Week,Week
Month,Month
Year,Year
"Give points to the customer","Give points to the customer"
"Per day","Per day"
"Per month","Per month"
"Per year","Per year"
Lifetime,Lifetime
"Admin added","Admin added"
Purchase,Purchase
Review,Review
"Sign up","Sign up"
"Newsletter subscriber","Newsletter subscriber"
"Facebook like","Facebook like"
"Facebook share","Facebook share"
"Twitter tweet","Twitter tweet"
Referral,Referral
"Send email to friend","Send email to friend"
"Earn Refund","Earn Refund"
Basic,Basic
Advanced,Advanced
"Give fixed X points to Referer","Give fixed X points to Referer"
Disable,Disable
Enable,Enable
Hash,Hash
"Url Param","Url Param"
"Earn <strong>%1</strong> points to rank up <strong>%2</strong>","Earn <strong>%1</strong> points to rank up <strong>%2</strong>"
"Current Tier:","Current Tier:"
"Your balance is not enough to place the order.","Your balance is not enough to place the order."
"You haven't enough point update items","You haven't enough point update items"
"There is no sample file for this entity.","There is no sample file for this entity."
"You haven't enough point to add this product!","You haven't enough point to add this product!"
"Please sign in to add the product!","Please sign in to add the product!"
Base,Base
"We couldn't find any records.","We couldn't find any records."
"Chart is disabled. To enable the chart, click <a href='%1'>here</a>","Chart is disabled. To enable the chart, click <a href='%1'>here</a>"
"My Milestones","نقاطي المهمة"
"View All","View All"
"Your tier is <strong>%1</strong> at present.","المستوي الخاص بك هو  <strong>%1</strong> في الوقت الحاضر."
"Earn <strong>%1</strong> Reward Points to rank up <strong>%2</strong>.","Earn <strong>%1</strong> Reward Points to rank up <strong>%2</strong>."
"Milestone Transactions","المعاملات الرئيسية"
"Recent Transactions","Recent Transactions"
"Transaction #","Transaction #"
Date,Date
Comment,Comment
Amount,Amount
"Expire Date","Expire Date"
N/A,N/A
"You have created no transactions.","You have created no transactions."
"Refer Email Or Code","Refer Email Or Code"
"Share your referral link with your friends and earn commissions","Share your referral link with your friends and earn commissions"
"Referral URL And Code","Referral URL And Code"
"Refer URL","Refer URL"
copy,copy
"Refer Code","Refer Code"
"Refer Email","Refer Email"
"Referral via Social","Referral via Social"
"Send Invitations","Send Invitations"
"Send from","Send from"
Store,Store
"Your email address","Your email address"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"To reduce the chance that your message is marked as spam, please follow this format: ""Contact name"" <name@example.com>","To reduce the chance that your message is marked as spam, please follow this format: ""Contact name"" <name@example.com>"
"Example contact list:""John"" <john@example.com>, peter@icloud.com,jennifer@google.com, hello@yahoo.com, mark@gmail.com","Example contact list:""John"" <john@example.com>, peter@icloud.com,jennifer@google.com, hello@yahoo.com, mark@gmail.com"
"Message (Just your message, referral links will be added automatically.)","Message (Just your message, referral links will be added automatically.)"
message,message
"SEND NOW","SEND NOW"
copied,copied
"Your Invitee","Your Invitee"
Receiver,Receiver
"Receiver earn","Receiver earn"
"Receiver discount","Receiver discount"
"You earn","You earn"
"EARN REWARDS FOR SHARING YOUR PURCHASE.","EARN REWARDS FOR SHARING YOUR PURCHASE."
"Dear %name,","Dear %name,"
"%storeName would like to wish you good health, luck and success on the occasion of your birthday!","%storeName would like to wish you good health, luck and success on the occasion of your birthday!"
"By the way, please receive our small gift which is %pointAmount to spend at ","By the way, please receive our small gift which is %pointAmount to spend at "
"Happy Birthday!","Happy Birthday!"
"Invitation from %store_name","Invitation from %store_name"
"Please accept this invitation to join ","Please accept this invitation to join "
Link:,Link:
"Welcome to our Milestone program","Welcome to our Milestone program"
"Congratulations,","Congratulations,"
"You become a ","You become a "
" member and own "," member and own "
" reward points."," reward points."
"Here are your ","Here are your "
" benefits:"," benefits:"
"For 'Earn Rate', 'Catalog Rules', 'Shopping Cart Rules', you will be increased ","For 'Earn Rate', 'Catalog Rules', 'Shopping Cart Rules', you will be increased "
" percent to earning"," percent to earning"
"For 'Behavior Rules', you will be plus ","For 'Behavior Rules', you will be plus "
" point to earning"," point to earning"
"You will receive a ","You will receive a "
"% discount for your spending reward points.","% discount for your spending reward points."
"Attain more points to reach more benefits at higher tiers.","Attain more points to reach more benefits at higher tiers."
Qty,Qty
"View Details","View Details"
"Options Details","Options Details"
Earning,Earning
"Behavior Rules","Behavior Rules"
Referrals,Referrals
Rules,Rules
"Mageplaza Reward Reports","Mageplaza Reward Reports"
"Social behavior","Social behavior"
"Like via Facebook","Like via Facebook"
"Show Facebook like button on frontend","Show Facebook like button on frontend"
"Show Facebook like count on frontend","Show Facebook like count on frontend"
"Page to display","Page to display"
"Tweet via Twitter","Tweet via Twitter"
"Show Twitter tweet button on frontend","Show Twitter tweet button on frontend"
"Customer referrals","Customer referrals"
"Invitation e-mail","Invitation e-mail"
"Default Refer URL","Default Refer URL"
"Url Key","Url Key"
"Use Param","Use Param"
Prefix,Prefix
"Enable Milestones","Enable Milestones"
"Earn Point Source","Earn Point Source"
"Earning Period","Earning Period"
"Email Notification","Email Notification"
"Progress Bar Type","Progress Bar Type"
"Milestone Tier Progress Background Color","Milestone Tier Progress Background Color"
"Milestone Tier Progress Color","Milestone Tier Progress Color"
Name,Name
"Point Amount","Point Amount"
Active,Active
Inactive,Inactive
"Created On","Created On"
Expired,Expired
Priority,Priority
"Referral Email","Referral Email"
"Invited Email","Invited Email"
"Invited Earn","Invited Earn"
"Invited Discount","Invited Discount"
"Web Site(s)","Web Site(s)"
"Add Milestone Tier","Add Milestone Tier"
"Are you sure to delete selected items?","Are you sure to delete selected items?"
"Change Status","Change Status"
"Number of Customers","Number of Customers"
Edit,Edit
"Store View","Store View"
"Customer Groups","Customer Groups"
"-- Select --","-- Select --"
Period,Period
"Created At","Created At"
"Total earning","Total earning"
"Total Spending","Total Spending"
"Number of orders","Number of orders"
"Discount for spending points","Discount for spending points"
"Grand Total Of Orders Using Points","Grand Total Of Orders Using Points"
"My Referral","My Referral"
"Minimum Grand Total","Minimum Grand Total"
"When customers write a review will receive the number of points if their order has paid out to reach minimum grand total.","When customers write a review will receive the number of points if their order has paid out to reach minimum grand total."
